cyc.time_seconds,veh.history.speed_ach_meters_per_second,veh.pt_type.BEV.res.history.soc,battery_energy_step_j,battery_energy_cum_j
150.0,19.71478385,0.9999860022389738,216057.81969544973,18790095.92490509
151.0,19.8041933,0.999985893781923,147338.90351176815,18937434.828416858
152.0,19.84889803,0.9999858115007231,111779.01022305868,19049213.838639915
153.0,19.93830748,0.999985702052217,148685.79549909793,19197899.634139013
154.0,19.9830122,0.9999856189421028,112905.09019780142,19310804.724336814
155.0,20.07242165,0.9999855084968008,150039.9427202838,19460844.667057097
156.0,20.20653583,0.9999853706102371,187318.89678389227,19648163.56384099
157.0,20.43005946,0.9999851788571951,260496.50748944996,19908660.07133044
158.0,20.51946891,0.9999850650502896,154606.68108294025,20063266.75241338
159.0,20.69828781,0.9999848963576143,229168.99937845202,20292435.75179183
160.0,20.92181144,0.9999846991803896,267865.259827904,20560301.011619736
161.0,20.96651616,0.9999846098169181,121400.27606175092,20681701.287681486
162.0,21.01122089,0.9999845201617794,121796.50586117775,20803497.793542664
163.0,21.05592561,0.9999844302143321,122193.60710402545,20925691.40064669
164.0,21.27944924,0.9999842290545172,273275.6085303888,21198967.009177078
165.0,21.41356341,0.9999840804916698,201822.62828880525,21400789.637465883
166.0,21.45826814,0.9999839878837579,125807.84826175532,21526597.485727638
167.0,21.45826814,0.999983924073273,86686.5436964491,21613284.029424086
168.0,21.41356341,0.9999838898298329,46519.713334283326,21659803.74275837
169.0,21.36885869,0.9999838557697629,46270.60503689051,21706074.347795263
170.0,21.14533506,0.999983909767816,-81281.28006532302,21624793.06772994
171.0,20.87710671,0.9999839821411329,-108940.88754115372,21515852.180188786
172.0,20.65358308,0.9999840356351102,-80522.51305525383,21435329.667133532
173.0,20.51946891,0.99998405244412,-25301.983260267127,21410027.683873266
174.0,20.43005946,0.9999840510428096,1903.6801689459792,21411931.36404221
175.0,20.34065001,0.999984049790125,1701.77205564948,21413633.13609786
176.0,20.29594528,0.9999840199291244,40566.169211063716,21454199.305308923
177.0,20.25124056,0.9999839902347575,40339.79747077085,21494539.102779694
178.0,20.11712638,0.999984007286787,-25667.791852058224,21468871.310927637
